what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500717050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500721361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500721662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500766947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500772811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500773908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500796935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500809729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500809774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500811986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500814311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500825597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500825644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500828484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529500831695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529501118966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529501126011
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1529501129661
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1529501137386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529501154657
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1529501157070
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1529501157284
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1529501157310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529501166024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529501170544
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1529501170554
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1529501170555
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1529501171046
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1529501171279
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1529501171337
