what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530906932365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907118591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907122643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907230983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907232072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907361352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907361880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907364827
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530907371822
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1530907375155
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530907375205
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1530907375236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.activateEditor",1530907382795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1530907384042
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1530907385725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907387755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907393874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530907395522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1530907397074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907401465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907406237
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1530907411791
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530907413021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530907420804
